symbol,charge,model,a1,b1,a2,b2,a3,b3,a4,b4,c,maximum error,s,mean error
Ne,0.0000000,RHF,3.9553000,8.4042000,3.1125000,3.4262000,1.4546000,0.2306000,1.1251000,21.7184000,0.3515000,0.0020000,0.2500000,0.0010000
Na,0.0000000,RHF,4.7626000,3.2850000,3.1736000,8.8422000,1.2674000,0.3136000,1.1128000,129.4240000,0.6760000,0.0090000,0.1300000,0.0020000
Na,1.0000000,RHF,3.2565000,2.6671000,3.9362000,6.1153000,1.3998000,0.2001000,1.0032000,14.0390000,0.4040000,0.0010000,0.7000000,0.0000000
Mg,0.0000000,RHF,5.4204000,2.8275000,2.1735000,79.2611000,1.2269000,0.3808000,2.3073000,7.1937000,0.8584000,0.0150000,0.0800000,0.0030000
Mg,2.0000000,RHF,3.4988000,2.1676000,3.8378000,4.7542000,1.3284000,0.1850000,0.8497000,10.1411000,0.4853000,0.0010000,1.3400000,0.0000000
Al,0.0000000,RHF,6.4202000,3.0387000,1.9002000,0.7426000,1.5936000,31.5472000,1.9646000,85.0886000,1.1151000,0.0180000,2.0000000,0.0050000
Al,3.0000000,HF,4.1744800,1.9381600,3.3876000,4.1455300,1.2029600,0.2287530,0.5281370,8.2852400,0.7067860,0.0000000,1.5000000,0.0000000
Si,0.0000000,RHF,6.2915000,2.4386000,3.0353000,32.3337000,1.9891000,0.6785000,1.5410000,81.6937000,1.1407000,0.0090000,2.0000000,0.0020000
Si,val,HF,5.6626900,2.6652000,3.0716400,38.6634000,2.6244600,0.9169460,1.3932000,93.5458000,1.2470700,0.0010000,0.5300000,0.0010000
Si,4.0000000,HF,4.4391800,1.6416700,3.2034500,3.4375700,1.1945300,0.2149000,0.4165300,6.6536500,0.7462970,0.0000000,1.5000000,0.0000000
P,0.0000000,RHF,6.4345000,1.9067000,4.1791000,27.1570000,1.7800000,0.5260000,1.4908000,68.1645000,1.1149000,0.0030000,0.6500000,0.0010000
S,0.0000000,RHF,6.9053000,1.4679000,5.2034000,22.2151000,1.4379000,0.2536000,1.5863000,56.1720000,0.8669000,0.0050000,0.6700000,0.0020000
Cl,0.0000000,RHF,11.4604000,0.0104000,7.1964000,1.1662000,6.2556000,18.5194000,1.6455000,47.7784000,-9.5574000,0.0070000,0.7800000,0.0030000
Cl,-1.0000000,RHF,18.2915000,0.0066000,7.2084000,1.1717000,6.5337000,19.5424000,2.3386000,60.4486000,-16.3780000,0.0070000,0.7600000,0.0030000
Ar,0.0000000,RHF,7.4845000,0.9072000,6.7723000,14.8407000,0.6539000,43.8983000,1.6442000,33.3929000,1.4445000,0.0290000,2.0000000,0.0060000
K,0.0000000,RHF,8.2186000,12.7949000,7.4398000,0.7748000,1.0519000,213.1870000,0.8659000,41.6841000,1.4228000,0.0110000,0.9000000,0.0050000
Ca,0.0000000,RHF,8.6266000,10.4421000,7.3873000,0.6599000,1.5899000,85.7484000,1.0211000,178.4370000,1.3751000,0.0160000,0.9900000,0.0060000
Ca,2.0000000,RHF,15.6348000,-0.0074000,7.9518000,0.6089000,8.4372000,10.3116000,0.8537000,25.9905000,-14.8750000,0.0170000,2.0000000,0.0040000
Sc,0.0000000,RHF,9.1890000,9.0213000,7.3679000,0.5729000,1.6409000,136.1080000,1.4680000,51.3531000,1.3329000,0.0140000,1.0700000,0.0060000
Sc,3.0000000,HF,13.4008000,0.2985400,8.0273000,7.9629000,1.6594300,-0.2860400,1.5793600,16.0662000,-6.6667000,0.0020000,1.5000000,0.0000000
Ti,0.0000000,RHF,9.7595000,7.8508000,7.3558000,0.5000000,1.6991000,35.6338000,1.9021000,116.1050000,1.2807000,0.0140000,2.0000000,0.0060000
Ti,2.0000000,HF,9.1142300,7.5243000,7.6217400,0.4575850,2.2793000,19.5361000,0.0878990,61.6558000,0.8971550,0.0060000,1.5000000,0.0010000
Ti,3.0000000,HF,17.7344000,0.2206100,8.7381600,7.0471600,5.2569100,-0.1576200,1.9213400,15.9768000,-14.6520000,0.0010000,0.0000000,0.0000000
Ti,4.0000000,HF,19.5114000,0.1788470,8.2347300,6.6701800,2.0134100,-0.2926300,1.5208000,12.9464000,-13.2800000,0.0020000,1.5000000,0.0000000
V,0.0000000,RHF,10.2971000,6.8657000,7.3511000,0.4385000,2.0703000,26.8938000,2.0571000,102.4780000,1.2199000,0.0140000,2.0000000,0.0050000
V,2.0000000,RHF,10.1060000,6.8818000,7.3541000,0.4409000,2.2884000,20.3004000,0.0223000,115.1220000,1.2298000,0.0150000,2.0000000,0.0040000
V,3.0000000,HF,9.4314100,6.3953500,7.7419000,0.3833490,2.1534300,15.1908000,0.0168650,63.9690000,0.6565650,0.0040000,1.5000000,0.0010000
V,5.0000000,HF,15.6887000,0.6790030,8.1420800,5.4013500,2.0308100,9.9727800,-9.5760000,0.9404640,1.7143000,0.0000000,0.3400000,0.0000000
Cr,0.0000000,RHF,10.6406000,6.1038000,7.3537000,0.3920000,3.3240000,20.2626000,1.4922000,98.7399000,1.1832000,0.0110000,2.0000000,0.0040000
Cr,2.0000000,HF,9.5403400,5.6607800,7.7509000,0.3442610,3.5827400,13.3075000,0.5091070,32.4224000,0.6168980,0.0020000,1.5000000,0.0000000
Cr,3.0000000,HF,9.6809000,5.5946300,7.8113600,0.3343930,2.8760300,12.8288000,0.1135750,32.8761000,0.5182750,0.0020000,1.5000000,0.0000000
Mn,0.0000000,RHF,11.2819000,5.3409000,7.3573000,0.3432000,3.0193000,17.8674000,2.2441000,83.7543000,1.0896000,0.0090000,2.0000000,0.0040000
Mn,2.0000000,RHF,10.8061000,5.2796000,7.3620000,0.3435000,3.5268000,14.3430000,0.2184000,41.3235000,1.0874000,0.0090000,2.0000000,0.0020000
Mn,3.0000000,HF,9.8452100,4.9179700,7.8719400,0.2943930,3.5653100,10.8171000,0.3236130,24.1281000,0.3939740,0.0010000,1.5000000,0.0000000
Mn,4.0000000,HF,9.9625300,4.8485000,7.9705700,0.2833030,2.7606700,10.4852000,0.0544470,27.5730000,0.2518770,0.0010000,1.5000000,0.0000000
Fe,0.0000000,RHF,11.7695000,4.7611000,7.3573000,0.3072000,3.5222000,15.3535000,2.3045000,76.8805000,1.0369000,0.0110000,0.0800000,0.0040000
Fe,2.0000000,RHF,11.0424000,4.6538000,7.3740000,0.3053000,4.1346000,12.0546000,0.4399000,31.2809000,1.0097000,0.0080000,2.0000000,0.0020000
Fe,3.0000000,RHF,11.1764000,4.6147000,7.3863000,0.3005000,3.3948000,11.6729000,0.0724000,38.5566000,0.9707000,0.0080000,2.0000000,0.0020000
Co,0.0000000,RHF,12.2841000,4.2791000,7.3409000,0.2784000,4.0034000,13.5359000,2.3488000,71.1692000,1.0118000,0.0130000,0.0800000,0.0040000
Co,2.0000000,RHF,11.2296000,4.1231000,7.3883000,0.2726000,4.7393000,10.2443000,0.7108000,25.6466000,0.9324000,0.0060000,2.0000000,0.0010000
Co,3.0000000,HF,10.3380000,3.9096900,7.8817300,0.2386680,4.7679500,8.3558300,0.7255910,18.3491000,0.2866670,0.0000000,1.5000000,0.0000000
Ni,0.0000000,RHF,12.8376000,3.8785000,7.2920000,0.2565000,4.4438000,12.1763000,2.3800000,66.3421000,1.0341000,0.0140000,0.0800000,0.0040000
Ni,2.0000000,RHF,11.4166000,3.6766000,7.4005000,0.2449000,5.3442000,8.8730000,0.9773000,22.1626000,0.8614000,0.0030000,2.0000000,0.0010000
Ni,3.0000000,HF,10.7806000,3.5477000,7.7586800,0.2231400,5.2274600,7.6446800,0.8471140,16.9673000,0.3860440,0.0000000,0.5700000,0.0000000
Cu,0.0000000,RHF,13.3380000,3.5828000,7.1676000,0.2470000,5.6158000,11.3966000,1.6735000,64.8126000,1.1910000,0.0150000,0.0800000,0.0050000
Cu,1.0000000,RHF,11.9475000,3.3669000,7.3573000,0.2274000,6.2455000,8.6625000,1.5578000,25.8487000,0.8900000,0.0030000,0.2400000,0.0010000
Cu,2.0000000,HF,11.8168000,3.3748400,7.1118100,0.2440780,5.7813500,7.9876000,1.1452300,19.8970000,1.1443100,0.0010000,0.2600000,0.0000000
Zn,0.0000000,RHF,14.0743000,3.2655000,7.0318000,0.2333000,5.1652000,10.3163000,2.4100000,58.7097000,1.3041000,0.0160000,0.0800000,0.0050000
Zn,2.0000000,RHF,11.9719000,2.9946000,7.3862000,0.2031000,6.4668000,7.0826000,1.3940000,18.0995000,0.7807000,0.0010000,0.6200000,0.0000000
Ga,0.0000000,RHF,15.2354000,3.0669000,6.7006000,0.2412000,4.3591000,10.7805000,2.9623000,61.4135000,1.7189000,0.0250000,0.0800000,0.0080000
Ga,3.0000000,HF,12.6920000,2.8126200,6.6988300,0.2278900,6.0669200,6.3644100,1.0066000,14.4122000,1.5354500,0.0080000,1.4500000,0.0000000
Ge,0.0000000,RHF,16.0816000,2.8509000,6.3747000,0.2516000,3.7068000,11.4468000,3.6830000,54.7625000,2.1313000,0.0240000,0.0800000,0.0080000
Ge,4.0000000,HF,12.9172000,2.5371800,6.7000300,0.2058550,6.0679100,5.4791300,0.8590410,11.6030000,1.4557200,0.0000000,0.3200000,0.0000000
As,0.000000,RHF,16.672300,2.634500,6.070100,0.264700,3.431300,12.947900,4.277900,47.797200,2.531000,0.019000,0.090000,0.008000
Se,0.000000,RHF,17.000600,2.409800,5.819600,0.272600,3.973100,15.237200,4.354300,43.816300,2.840900,0.016000,2.000000,0.006000
Br,0.000000,RHF,17.178900,2.172300,5.235800,16.579600,5.637700,0.260900,3.985100,41.432800,2.955700,0.012000,2.000000,0.004000
Br,-1.000000,RHF,17.171800,2.205900,6.333800,19.334500,5.575400,0.287100,3.727200,58.153500,3.177600,0.016000,2.000000,0.006000
Kr,0.000000,RHF,17.355500,1.938400,6.728600,16.562300,5.549300,0.226100,3.537500,39.397200,2.825000,0.008000,2.000000,0.002000
Rb,0.000000,RHF,17.178400,1.788800,9.643500,17.315100,5.139900,0.274800,1.529200,164.934000,3.487300,0.028000,0.120000,0.008000
Rb,1.000000,RHF,17.581600,1.713900,7.659800,14.795700,5.898100,0.160300,2.781700,31.208700,2.078200,0.002000,1.990000,0.001000
Sr,0.005000,RHF,17.566300,1.556400,9.818400,14.098800,5.422000,0.166400,2.669400,132.376000,2.506400,0.021000,0.130000,0.005000
Sr,2.000000,RHF,18.087400,1.490700,8.137300,12.696300,2.565400,-24.565100,34.193000,-0.013800,41.402500,0.008000,2.000000,0.002000
Y,0.000000,*RHF,17.776000,1.402900,10.294600,12.800600,5.726290,0.125599,3.265880,104.354000,1.912130,0.028000,0.070000,0.006000
Y,3.000000,*DS,17.926800,1.354170,9.153100,11.214500,1.767950,-22.659900,33.108000,-0.013190,40.260200,0.005000,2.000000,0.001000
Zr,0.000000,*RHF,17.876500,1.276180,10.948000,11.916000,5.417320,0.117622,3.657210,87.662700,2.069290,0.035000,0.070000,0.008000
Zr,4.000000,*DS,18.166800,1.214800,10.056200,10.148300,1.011180,21.605400,-2.647900,-0.102760,9.414540,0.004000,2.000000,0.001000
Nb,0.000000,*RHF,17.614200,1.188650,12.014400,11.766000,4.041830,0.204785,3.533460,69.795700,3.755910,0.042000,0.080000,0.011000
Nb,3.000000,*DS,19.881200,0.019175,18.065300,1.133050,11.017700,10.162100,1.947150,28.338900,-12.912000,0.006000,2.000000,0.002000
Nb,5.000000,*DS,17.916300,1.124460,13.341700,0.028781,10.799000,9.282060,0.337905,25.722800,-6.393400,0.007000,2.000000,0.003000
Mo,0.000000,RHF,3.702500,0.277200,17.235600,1.095800,12.887600,11.004000,3.742900,61.658400,4.387500,0.046000,0.080000,0.012000
Mo,3.000000,*DS,21.166400,0.014734,18.201700,1.030310,11.742300,9.536590,2.309510,26.630700,-14.421000,0.009000,2.000000,0.003000
Mo,5.000000,*DS,21.014900,0.014345,18.099200,1.022380,11.463200,8.788090,0.740625,23.345200,-14.316000,0.010000,2.000000,0.003000
Mo,6.000000,*DS,17.887100,1.036490,11.175000,8.480610,6.578910,0.058881,0.000000,0.000000,0.344941,0.014000,0.000000,0.006000
Tc,0.000000,*RHF,19.130100,0.864132,11.094800,8.144870,4.649010,21.570700,2.712630,86.847200,5.404280,0.061000,2.000000,0.011000
Ru,0.000000,*RHF,19.267400,0.808520,12.918200,8.434670,4.863370,24.799700,1.567560,94.292800,5.378140,0.041000,2.000000,0.006000
Ru,3.000000,*DS,18.563800,0.847329,13.288500,8.371640,9.326020,0.017662,3.009640,22.887000,-3.189200,0.013000,2.000000,0.004000
Ru,4.000000,*DS,18.500300,0.844582,13.178700,8.125340,4.713040,0.364950,2.185350,20.850400,1.423570,0.014000,2.000000,0.004000
Rh,0.000000,*RHF,19.295700,0.751536,14.350100,8.217580,4.734250,25.874900,1.289180,98.606200,5.328000,0.021000,2.000000,0.004000
Rh,3.000000,*DS,18.878500,0.764252,14.125900,7.844380,3.325150,21.248700,-6.198900,-0.010360,11.867800,0.014000,2.000000,0.004000
Rh,4.000000,*DS,18.854500,0.760825,13.980600,7.624360,2.534640,19.331700,-5.652600,-0.010200,11.283500,0.014000,2.000000,0.003000
Pd,0.000000,*RHF,19.331900,0.698655,15.501700,7.989290,5.295370,25.205200,0.605844,76.898600,5.265930,0.012000,1.080000,0.005000
Pd,2.000000,*DS,19.170100,0.696219,15.209600,7.555730,4.322340,22.505700,0.000000,0.000000,5.291600,0.011000,2.000000,0.004000
Pd,4.000000,*DS,19.249300,0.683839,14.790000,7.148330,2.892890,17.914400,-7.949200,0.005127,13.017400,0.014000,2.000000,0.003000
Ag,0.000000,RHF,19.280800,0.644600,16.688500,7.472600,4.804500,24.660500,1.046300,99.815600,5.179000,0.016000,1.140000,0.007000
Ag,1.000000,*DS,19.181200,0.646179,15.971900,7.191230,5.274750,21.732600,0.357534,66.114700,5.215720,0.012000,1.130000,0.005000
Ag,2.000000,*DS,19.164300,0.645643,16.245600,7.185440,4.370900,21.407200,0.000000,0.000000,5.214040,0.011000,1.140000,0.005000
Cd,0.000000,RHF,19.221400,0.594600,17.644400,6.908900,4.461000,24.700800,1.602900,87.482500,5.069400,0.020000,2.000000,0.008000
Cd,2.000000,*DS,19.151400,0.597922,17.253500,6.806390,4.471280,20.252100,0.000000,0.000000,5.119370,0.014000,1.170000,0.007000
In,0.000000,RHF,19.162400,0.547600,18.559600,6.377600,4.294800,25.849900,2.039600,92.802900,4.939100,0.027000,2.000000,0.009000
In,3.000000,*DS,19.104500,0.551522,18.110800,6.324700,3.788970,17.359500,0.000000,0.000000,4.996350,0.022000,2.000000,0.007000
Sn,0.000000,RHF,19.188900,5.830300,19.100500,0.503100,4.458500,26.890900,2.466300,83.957100,4.782100,0.032000,2.000000,0.009000
Sn,2.000000,RHF,19.109400,0.503600,19.054800,5.837800,4.564800,23.375200,0.487000,62.206100,4.786100,0.032000,2.000000,0.009000
Sn,4.000000,RHF,18.933300,5.764000,19.713100,0.465500,3.418200,14.004900,0.019300,-0.758300,3.918200,0.016000,2.000000,0.004000
Sb,0.000000,RHF,19.641800,5.303400,19.045500,0.460700,5.037100,27.907400,2.682700,75.282500,4.590900,0.035000,2.000000,0.009000
Sb,3.000000,*DS,18.975500,0.467196,18.933000,5.221260,5.107890,19.590200,0.288753,55.511300,4.696260,0.028000,2.000000,0.007000
Sb,5.000000,*DS,19.868500,5.448530,19.030200,0.467973,2.412530,14.125900,0.000000,0.000000,4.692630,0.030000,2.000000,0.008000
Te,0.000000,*RHF,19.964400,4.817420,19.013800,0.420885,6.144870,28.528400,2.523900,70.840300,4.352000,0.038000,2.000000,0.009000
I,0.000000,RHF,20.147200,4.347000,18.994900,0.381400,7.513800,27.766000,2.273500,66.877600,4.071200,0.037000,2.000000,0.009000
I,-1.000000,RHF,20.233200,4.357900,18.997000,0.381500,7.806900,29.525900,2.886800,84.930400,4.071400,0.038000,2.000000,0.009000
Xe,0.000000,RHF,20.293300,3.928200,19.029800,0.344000,8.976700,26.465900,1.990000,64.265800,3.711800,0.038000,2.000000,0.009000
Cs,0.000000,RHF,20.389200,3.569000,19.106200,0.310700,10.662000,24.387900,1.495300,213.904000,3.335200,0.032000,2.000000,0.010000
Cs,1.000000,RHF,20.352400,3.552000,19.127800,0.308600,10.282100,23.712800,0.961500,59.456500,3.279100,0.037000,2.000000,0.009000
Ba,0.000000,RHF,20.336100,3.216000,19.297000,0.275600,10.888000,20.207300,2.695900,167.202000,2.773100,0.032000,2.000000,0.009000
Ba,2.000000,*DS,20.180700,3.213670,19.113600,0.283310,10.905400,20.055800,0.776340,51.746000,3.029020,0.029000,2.000000,0.007000
La,0.000000,*RHF,20.578000,2.948170,19.599000,0.244475,11.372700,18.772600,3.287190,133.124000,2.146780,0.032000,2.000000,0.009000
La,3.000000,*DS,20.248900,2.920700,19.376300,0.250698,11.632300,17.821100,0.336048,54.945300,2.408600,0.028000,2.000000,0.007000
Ce,0.000000,*RHF,21.167100,2.812190,19.769500,0.226836,11.851300,17.608300,3.330490,127.113000,1.862640,0.026000,2.000000,0.008000
Ce,3.000000,*DS,20.803600,2.776910,19.559000,0.231540,11.936900,16.540800,0.612376,43.169200,2.090130,0.023000,2.000000,0.005000
Ce,4.000000,*DS,20.323500,2.659410,19.818600,0.218850,12.123300,15.799200,0.144583,62.235500,1.591800,0.026000,2.000000,0.007000
Pr,0.000000,*RHF,22.044000,2.773930,19.669700,0.222087,12.385600,16.766900,2.824280,143.644000,2.058300,0.021000,0.120000,0.007000
Pr,3.000000,*DS,21.372700,2.645200,19.749100,0.214299,12.132900,15.323000,0.975180,36.406500,1.771320,0.019000,2.000000,0.004000
Pr,4.000000,*DS,20.941300,2.544670,20.053900,0.202481,12.466800,14.813700,0.296689,45.464300,1.242850,0.021000,2.000000,0.005000
Nd,0.000000,*RHF,22.684500,2.662480,19.684700,0.210628,12.774000,15.885000,2.851370,137.903000,1.984860,0.024000,0.130000,0.007000
Nd,3.000000,*DS,21.961000,2.527220,19.933900,0.199237,12.120000,14.178300,1.510310,30.871700,1.475880,0.015000,2.000000,0.003000
Pm,0.000000,*RHF,23.340500,2.562700,19.609500,0.202088,13.123500,15.100900,2.875160,132.721000,2.028760,0.026000,0.130000,0.008000
Pm,3.000000,*DS,22.552700,2.417400,20.110800,0.185769,12.067100,13.127500,2.074920,27.449100,1.194990,0.012000,2.000000,0.002000
Sm,0.000000,*RHF,24.004200,2.472740,19.425800,0.196451,13.439600,14.399600,2.896040,128.007000,2.209630,0.029000,0.130000,0.009000
Sm,3.000000,*DS,23.150400,2.316410,20.259900,0.174081,11.920200,12.157100,2.714880,24.824200,0.954586,0.009000,2.000000,0.002000
Eu,0.000000,RHF,24.627400,2.387900,19.088600,0.194200,13.760300,13.754600,2.922700,123.174000,2.574500,0.031000,0.140000,0.010000
Eu,2.000000,*DS,24.006300,2.277830,19.950400,0.173530,11.803400,11.609600,3.872430,26.515600,1.363890,0.004000,2.000000,0.002000
Eu,3.000000,*DS,23.749700,2.222580,20.374500,0.163940,11.850900,11.311000,3.265030,22.996600,0.759344,0.006000,2.000000,0.001000
Gd,0.000000,*RHF,25.070900,2.253410,19.079800,0.181951,13.851800,12.933100,3.545450,101.398000,2.419600,0.036000,0.150000,0.011000
Gd,3.000000,*DS,24.346600,2.135530,20.420800,0.155525,11.870800,10.578200,3.714900,21.702900,0.645089,0.004000,2.000000,0.001000
Tb,0.000000,*RHF,25.897600,2.242560,18.218500,0.196143,14.316700,12.664800,2.953540,115.362000,3.583240,0.035000,0.140000,0.012000
Tb,3.000000,*DS,24.955900,2.056010,20.327100,0.149525,12.247100,10.049900,3.773000,21.277300,0.691967,0.005000,0.000000,0.001000
Dy,0.000000,*RHF,26.507000,2.180200,17.638300,0.202172,14.559600,12.189900,2.965770,111.874000,4.297280,0.037000,0.150000,0.013000
Dy,3.000000,*DS,25.539500,1.980400,20.286100,0.143384,11.981200,9.349720,4.500730,19.581000,0.689690,0.003000,0.000000,0.001000
Ho,0.000000,*RHF,26.904900,2.070510,17.294000,0.197940,14.558300,11.440700,3.638370,92.656600,4.567960,0.040000,0.150000,0.013000
Ho,3.000000,*DS,26.129600,1.910720,20.099400,0.139358,11.978800,8.800180,4.936760,18.590800,0.852795,0.003000,0.000000,0.001000
Er,0.000000,*RHF,27.656300,2.073560,16.428500,0.223545,14.977900,11.360400,2.982330,105.703000,5.920460,0.040000,0.150000,0.015000
Er,3.000000,*DS,26.722000,1.846590,19.774800,0.137290,12.150600,8.362250,5.173790,17.897400,1.176130,0.003000,0.000000,0.001000
Tm,0.000000,*RHF,28.181900,2.028590,15.885100,0.238849,15.154200,10.997500,2.987060,102.961000,1.639290,0.041000,0.150000,0.016000
Tm,3.000000,*DS,27.308300,1.787110,19.332000,0.136974,12.333900,7.967780,5.383480,17.292200,1.639290,0.003000,0.000000,0.001000
Yb,0.000000,*RHF,28.664100,1.988900,15.434500,0.257119,15.308700,10.664700,2.989630,100.417000,7.566720,0.042000,0.150000,0.016000
Yb,2.000000,*DS,28.120900,1.785030,17.681700,0.159970,13.333500,8.183040,5.146570,20.390000,3.709830,0.008000,0.000000,0.003000
Yb,3.000000,*DS,27.891700,1.732720,18.761400,0.138790,12.607200,7.644120,5.476470,16.815300,2.260010,0.003000,0.000000,0.002000
Lu,0.000000,*RHF,28.947600,1.901820,15.220800,9.985190,15.100000,0.261033,3.716010,84.329800,7.976280,0.043000,0.160000,0.016000
Lu,3.000000,*DS,28.462800,1.682160,18.121000,0.142292,12.842900,7.337270,5.594150,16.353500,2.975730,0.004000,0.140000,0.002000
Hf,0.000000,*RHF,29.144000,1.832620,15.172600,9.599900,14.758600,0.275116,4.300130,72.029000,8.581540,0.047000,0.080000,0.016000
Hf,4.000000,*DS,28.813100,1.591360,18.460100,0.128903,12.728500,6.762320,5.599270,14.036600,2.396990,0.002000,0.000000,0.001000
Ta,0.000000,*RHF,29.202400,1.773330,15.229300,9.370460,14.513500,0.295977,4.764920,63.364400,9.243540,0.049000,0.080000,0.017000
Ta,5.000000,*DS,29.158700,1.507110,18.840700,0.116741,12.826800,6.315240,5.386950,12.424400,1.785550,0.002000,2.000000,0.001000
W,0.000000,*RHF,29.081800,1.720290,15.430000,9.225900,14.432700,0.321703,5.119820,57.056000,9.887500,0.051000,0.090000,0.017000
W,6.000000,*DS,29.493600,1.427550,19.376300,0.104621,13.054400,5.936670,5.064120,11.197200,1.010740,0.001000,0.000000,0.000000
Re,0.000000,*RHF,28.762100,1.671910,15.718900,9.092270,14.556400,0.350500,5.441740,52.086100,10.472000,0.052000,0.090000,0.017000
Os,0.000000,*RHF,28.189400,1.629030,16.155000,8.979480,14.930500,0.382661,5.675890,48.164700,11.000500,0.051000,0.090000,0.017000
Os,4.000000,*DS,30.419000,1.371130,15.263700,6.847060,14.745800,0.165191,5.067950,18.003000,6.498040,0.006000,0.290000,0.003000
Ir,0.000000,*RHF,27.304900,1.592790,16.729600,8.865530,15.611500,0.417916,5.833770,45.001100,11.472200,0.050000,0.090000,0.017000
Ir,3.000000,*DS,30.415600,1.343230,15.862000,7.109090,13.614500,0.204633,5.820080,20.325400,8.279030,0.009000,0.280000,0.004000
Ir,4.000000,*DS,30.705800,1.309230,15.551200,6.719830,14.232600,0.167252,5.536720,17.491100,6.968240,0.006000,0.290000,0.003000
Pt,0.000000,*RHF,27.005900,1.512930,17.763900,8.811740,15.713100,0.424593,5.783700,38.610300,11.688300,0.046000,0.100000,0.016000
Pt,2.000000,*DS,29.842900,1.329270,16.722400,7.389790,13.215300,0.263297,6.352340,22.942600,9.853290,0.014000,0.000000,0.006000
Pt,4.000000,*DS,30.961200,1.248130,15.982900,6.608340,13.734800,0.168640,5.920340,16.939200,7.395340,0.006000,0.140000,0.003000
Au,0.000000,RHF,16.881900,0.461100,18.591300,8.621600,25.558200,1.482600,5.860000,36.395600,12.065800,0.045000,0.100000,0.015000
Au,1.000000,*DS,28.010900,1.353210,17.820400,7.739500,14.335900,0.356752,6.580770,26.404300,11.229900,0.023000,0.120000,0.009000
Au,3.000000,*DS,30.688600,1.219900,16.902900,6.828720,12.780100,0.212867,6.523540,18.659000,9.096800,0.009000,0.140000,0.004000
Hg,0.000000,RHF,20.680900,0.545000,19.041700,8.448400,21.657500,1.572900,5.967600,38.324600,12.608900,0.046000,0.100000,0.017000
Hg,1.000000,*DS,25.085300,1.395070,18.497300,7.651050,16.888300,0.443378,6.482160,28.226200,12.020500,0.027000,0.120000,0.011000
Hg,2.000000,*DS,29.564100,1.211520,18.060000,7.056390,12.837400,0.284738,6.899120,20.748200,10.626800,0.013000,0.000000,0.006000
Tl,0.000000,*RHF,27.544600,0.655150,19.158400,8.707510,15.538000,1.963470,5.525930,45.814900,13.174600,0.059000,0.090000,0.021000
Tl,1.000000,*DS,21.398500,1.471100,20.472300,0.517394,18.747800,7.434630,6.828470,28.848200,12.525800,0.028000,0.120000,0.011000
Tl,3.000000,*DS,30.869500,1.100800,18.348100,6.538520,11.932800,0.219074,7.005740,17.211400,9.802700,0.008000,0.010000,0.004000
Pb,0.000000,RHF,31.061700,0.690200,13.063700,2.357600,18.442000,8.618000,5.969600,47.257900,13.411800,0.060000,2.000000,0.021000
Pb,2.000000,*DS,21.788600,1.336600,19.568200,0.488383,19.140600,6.772700,7.011070,23.813200,12.473400,0.020000,2.000000,0.008000
